direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note,pval_FDR_BH,pval_Bonferroni,sig_nominal
forward,WBC,White blood cell (leukocyte) count,SPONDINF,Other infective spondylopathies,IVW (random effects),28,-3.2980128623377345,0.886844788221492,0.0002001585375791,-5.036228647251859,-1.55979707742361,0.0369565322011237,0.0064982092031205,0.2101787168804645,116.14549422779368,30.303282831694645,16.288530824446223,0.9472227092010674,0.0,-0.0201848648357798,0.8156469457763538,"Q=16.289, df=27",0.0090071341910595,0.0090071341910595,True
forward,CCL2,CCL2 / MCP-1 measurement,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),7,-0.1498782960259092,0.1050691811032364,0.1537320032540909,-0.3558138909882526,0.0560572989364341,0.8608127343809208,0.7006029966340955,1.0576582846952332,107.02019170886231,29.81949336425167,5.687212688799647,0.4591243131316556,0.0,0.0111634492212849,0.7338148578891476,"Q=5.687, df=6",0.6144272967495193,1.0,False
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),3,0.126283676805667,0.0729861450152632,0.0835870881944025,-0.016769167424249,0.269336521035583,1.1346039834688424,0.9833706524187384,1.309095605138312,528.4267457775946,49.72808258864325,1.7253091085857415,0.4220402652165081,0.0,0.0282917678951714,0.6441977066560446,"Q=1.725, df=2",0.6144272967495193,1.0,False
forward,CRP,C-reactive protein measurement,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),13,0.0537903885841203,0.100206658251286,0.5914095328081741,-0.1426146615884003,0.250195438756641,1.0552633837189478,0.8670881268901997,1.284276389542787,92.15894014471976,32.327196698420515,10.629200926983277,0.5609346313866646,0.0,0.0132926821065307,0.5422833499376076,"Q=10.629, df=12",0.8200462211525517,1.0,False
forward,EOS,Eosinophil count,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),13,0.0701768755696145,0.2934663471112369,0.8110040717795677,-0.5050171647684099,0.6453709159076388,1.0726978985273727,0.6034952164825089,1.9066941213085684,92.4822061189762,33.51133189166632,17.893250546332705,0.1189704552488004,32.935606255960856,0.0551054970400068,0.2171408602204511,"Q=17.893, df=12",0.8901264202458669,1.0,False
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),4,0.0464538446216617,0.0599754188490938,0.4386067559328749,-0.0710979763225621,0.1640056655658855,1.0475497278986898,0.9313706353873676,1.1782209903624612,430.7785596184135,61.14063288814258,1.7375317261412722,0.6286221216870957,0.0,0.0231579758594886,0.829612437706271,"Q=1.738, df=3",0.6855602787864992,1.0,False
forward,LYMPH,Lymphocyte count,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),18,0.2571037166843104,0.2459598471663479,0.2958807902637556,-0.2249775837617314,0.7391850171303522,1.2931792440675458,0.7985341186898218,2.0942280588222344,101.52346598770178,31.52982846010276,22.78356596533165,0.1564302701239639,25.384814537514227,0.0177927037477314,0.4329500855492684,"Q=22.784, df=17",0.6144272967495193,1.0,False
forward,MONO,Monocyte count,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),39,-0.3361082036879733,0.1723966332090885,0.0512212343191275,-0.6740056047777867,0.0017891974018401,0.7145457851437635,0.5096629751355207,1.0017907989705432,79.80564683549846,29.766264422580456,45.49823532225188,0.1881715341915499,16.48027724403788,-0.0040239783299703,0.8082113745116714,"Q=45.498, df=38",0.5762388860901844,1.0,False
forward,NEUT,Neutrophil count,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),29,-0.1647123454930186,0.2141491183629124,0.4418055129957439,-0.5844446174843271,0.2550199264982897,0.8481376396162329,0.5574153546026903,1.2904873355103716,112.94904673089827,30.41066943397951,52.519407969897244,0.0033402689959006,46.68637541373492,-0.011844838560081,0.5564658729851493,"Q=52.519, df=28",0.6855602787864992,1.0,False
forward,WBC,White blood cell (leukocyte) count,OM,"Osteomyelitis (all sites, M86)",IVW (random effects),28,-0.2009495751432186,0.2205960226239443,0.3623273841142217,-0.6333177794861496,0.2314186291997122,0.8179536757109368,0.5308277069108389,1.2603867637252208,116.14549422779368,30.303282831694645,51.83896911547566,0.0027716335641181,47.9156309226458,0.0024417053231813,0.911743993256855,"Q=51.839, df=27",0.6521892914055991,1.0,False
